Hedge 3: X: 19.398 m, Y: 7.459 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:19:00-199
Hedge 3: X: 19.368 m, Y: 7.494 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:19:00-317
Hedge 3: X: 19.337 m, Y: 7.528 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:19:00-435
Hedge 3: X: 19.306 m, Y: 7.567 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:19:00-553
Hedge 3: X: 19.329 m, Y: 7.735 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:19:00-671
Hedge 3: X: 19.512 m, Y: 8.082 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:19:00-789
Hedge 3: X: 19.483 m, Y: 8.126 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:19:00-907
Hedge 3: X: 19.458 m, Y: 8.175 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:19:01-025
Hedge 3: X: 19.379 m, Y: 8.095 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:19:01-143
Hedge 3: X: 19.141 m, Y: 7.837 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:19:01-262
Hedge 3: X: 19.115 m, Y: 7.882 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:19:01-380
Hedge 3: X: 19.087 m, Y: 7.923 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:19:01-498
Hedge 3: X: 19.055 m, Y: 7.953 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:19:01-616
Hedge 3: X: 19.022 m, Y: 7.985 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:19:01-734
Hedge 3: X: 18.986 m, Y: 8.016 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:19:01-852
Hedge 3: X: 18.950 m, Y: 8.045 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:19:01-970
Hedge 3: X: 18.920 m, Y: 8.079 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:19:02-088
Hedge 3: X: 18.892 m, Y: 8.112 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:19:02-206
Hedge 3: X: 18.866 m, Y: 8.143 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:19:02-325
Hedge 3: X: 18.843 m, Y: 8.173 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:19:02-443
Hedge 3: X: 18.822 m, Y: 8.198 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:19:02-561
Hedge 3: X: 18.807 m, Y: 8.216 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:19:02-679
Hedge 3: X: 18.800 m, Y: 8.227 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:19:02-797
Hedge 3: X: 18.797 m, Y: 8.230 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:19:02-915
Hedge 3: X: 18.798 m, Y: 8.230 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:19:03-033
Hedge 3: X: 18.798 m, Y: 8.230 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:19:03-151
Hedge 3: X: 18.798 m, Y: 8.231 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:19:03-269
